#separator:;
#html:true
#notetype:Basic
#deck:ENCAPS::Cifras
#tags column:3
#columns:Frente;Reverso;Tags
Sangrado vaginal indoloro rojo rutilante a las 26 semanas sin contracciones:;<b>Placenta previa</b> (DPP = doloroso, útero hipertónico).;ENCAPS::Cifras cod::II-1 rebote fuente::2025-2-Q51
Gestante con SÍFILIS a 4 semanas del parto: tratamiento completo para prevenir sífilis congénita.;<b>Penicilina G benzatínica 2,4 millones UI IM, 1 vez por semana × 3 semanas</b>.;ENCAPS::Cifras cod::II-11 rebote fuente::2026-II-Q85 fuente::compendio-Lopez-CI
PrEP (VIH): ¿a quién? (edad, riesgo, ventana):;Personas <b>≥ 18 años</b> en alto riesgo (HSH, MT, TS, parejas serodiscordantes), sin VIH y <b>sin exposición de riesgo en las últimas 72 h</b>, que acuden voluntariamente.;ENCAPS::Cifras cod::II-11 rebote fuente::2026-II-Q53
Pinchazo con aguja usada en paciente con estado VIH desconocido: acción INMEDIATA.;<b>Lavar la herida con agua y tomar los antirretrovirales lo antes posible</b> (PEP), luego notificar el accidente.;ENCAPS::Cifras cod::II-11 rebote fuente::2025-1A-Q82 fuente::2025-2-Q83
Actividad física de intensidad moderada recomendada por la OMS al adulto (riesgo cardiovascular):;<b>≥ 150 minutos por semana</b>.;ENCAPS::Cifras cod::II-8 rebote fuente::2026-II-Q90 fuente::Theomed-CI
Paquete de ENT en primer nivel: componente del paquete BÁSICO y del paquete COMPLETO (ejemplo del examen).;Básico: <b>alimentación saludable</b> · Completo: <b>salud ocular</b>.;ENCAPS::Cifras cod::II-8 rebote fuente::2026-II-Q17
HbA1c que indica control metabólico ÓPTIMO en DM2 (meta MINSA):;<b>< 7 %</b>.;ENCAPS::Cifras cod::II-8 rebote fuente::2025-1A-Q9 fuente::Theomed-CI
Prediabetes por glicemia en ayunas: rango en mg/dL y siguiente paso.;<b>100-125 mg/dL</b> → <b>test de tolerancia oral a la glucosa</b> (prueba confirmatoria), NO repetir la glicemia.;ENCAPS::Cifras cod::II-8 rebote fuente::2024-2A-Q64 fuente::2025-2-Q89
PA 140/90 en consulta, sin antecedentes: conducta ideal para confirmar HTA.;<b>Confirmar con MAPA</b> (monitoreo ambulatorio), no nueva toma de PA ni tratamiento inmediato.;ENCAPS::Cifras cod::II-8 rebote fuente::2025-1A-Q88
HTA esencial en ≥ 18 años sin comorbilidad: grupo farmacológico de primera elección.;<b>Diuréticos tiazídicos</b>.;ENCAPS::Cifras cod::II-8 rebote fuente::2025-1A-Q53
Consumo de sodio recomendado por OMS/FAO:;<b>< 5 g/día</b> de sal (sodio ~2 g).;ENCAPS::Cifras cod::II-8 rebote fuente::2024-2A-Q100
Perímetro de cintura límite en personas con diabetes (mujer / varón):;Mujer <b>87 cm</b> · Varón <b>93 cm</b>.;ENCAPS::Cifras cod::II-8 rebote fuente::2025-2-Q2 fuente::2025-2-Q33
Prioridad II en emergencia (RM de julio 2026): tiempo máximo de atención.;<b>≤ 10 minutos</b> desde el triaje.;ENCAPS::Cifras cod::II-EMG fuente::2026-II-Q16
Prioridad III en emergencia (lactante con vómitos y diarrea SIN deshidratación): tiempo máximo.;<b>≤ 30 minutos</b> desde el triaje (RM jul-2026).<br>⚠ CCSN: la NTS previa (manuales 2026-I) decía 20 min, el examen 2026-II usó la RM nueva: 30.;ENCAPS::Cifras cod::II-EMG fuente::2026-II-Q59 fuente::Theomed-CI
Prioridad I en emergencia: tiempo y área de destino.;<b>Inmediata</b> → sala de reanimación / shock trauma (gravedad súbita extrema).;ENCAPS::Cifras cod::II-EMG fuente::Theomed-CI
EDA persistente: definición de caso (días).;Diarrea aguda infecciosa que se prolonga <b>≥ 14 días</b>.;ENCAPS::Cifras cod::II-2 fuente::2024-2A-Q56
Lactante de 3 meses con bronquiolitis, FR 70, retracción subcostal, dificultad para lactar (ESBA severo): conducta.;<b>Referir a hospital</b> (no manejo ambulatorio ni antibióticos).;ENCAPS::Cifras cod::II-2 fuente::2026-II-Q24
Sarampión confirmado clínicamente (Koplik, exantema): intervención PRIORITARIA para evitar secuelas.;<b>Vitamina A (retinol)</b>.;ENCAPS::Cifras cod::II-2 fuente::2026-II-Q31
Complicación tardía y fatal del sarampión:;<b>Panencefalitis esclerosante subaguda</b> (PEES).;ENCAPS::Cifras cod::II-2 fuente::2026-II-Q61
Caso probable de TOS FERINA: medidas a implementar (bundle correcto).;<b>Seguimiento de contactos + búsqueda activa comunitaria e institucional + bloqueo vacunal</b>.;ENCAPS::Cifras cod::II-2 fuente::2025-1A-Q80
Personal de salud diagnosticado de TB: tipo de licencia.;Licencia <b>con goce de remuneraciones</b>.;ENCAPS::Cifras cod::II-6 fuente::2026-II-Q26
Persona con TB con compromiso del parénquima pulmonar, con o sin confirmación bacteriológica: definición de caso.;Caso <b>de TB pulmonar</b> (no “probable”, no “índice”).;ENCAPS::Cifras cod::II-6 fuente::2026-II-Q67
Terapia preventiva de TB (TPT): ¿quiénes? y requisito previo.;<b>Contactos de caso índice de TB pulmonar y personas con VIH</b>, SIEMPRE tras descartar TB activa (e inmunosupresión no evaluada = no iniciar).;ENCAPS::Cifras cod::II-6 fuente::2025-1A-Q50 fuente::2025-2-Q71
TB en tratamiento que no mejora al 3.er mes + contacto TB-DR: conducta inicial.;<b>Muestra de esputo para prueba de sensibilidad rápida</b> (antes de iniciar esquema DR o referir al consultor).;ENCAPS::Cifras cod::II-6 fuente::2025-2-Q4
PCA-PANTBC: porcentaje del requerimiento calórico-proteico mensual que cubre la ración.;<b>50 %</b> (para la PAT y 4 contactos intradomiciliarios).;ENCAPS::Cifras cod::II-6 fuente::2024-2A-Q72 fuente::Theomed-CI
Estudio de contactos de TB en población cerrada/semicerrada: plazo límite.;<b>≤ 7 días calendario</b>.;ENCAPS::Cifras cod::II-6 fuente::Theomed-CI
Signos que hacen sospechar CÁNCER INFANTIL en el examen del niño:;<b>Fiebre > 7 días sin causa conocida + adenopatías > 2,5 cm no dolorosas sin inflamación</b>.;ENCAPS::Cifras cod::II-10 fuente::2026-II-Q43
Mujer de 55 años, nulípara, IMC 32, nunca tamizada, acude al I-2 para examen clínico de mama: conducta.;<b>Referencia para mamografía</b> (tamizaje: mamografía cada 2 años según manual Theomed).;ENCAPS::Cifras cod::II-10 fuente::2026-II-Q80 fuente::Theomed-CI
PAP positivo en mujer de 55 años: siguiente paso del flujograma de cáncer de cuello uterino.;<b>Colposcopía</b>.;ENCAPS::Cifras cod::II-10 fuente::2025-1A-Q37
VACAM CORTA: ¿en qué categorías de EESS se aplica?;<b>I-2, I-3 y I-4</b>. En el I-1 corresponde la VACAM BREVE.;ENCAPS::Cifras cod::II-7 fuente::2026-II-Q46 fuente::2024-2A-Q69
Test de deterioro cognitivo del adulto mayor aplicable en el primer nivel (MAIS):;<b>Test de Pfeiffer</b> (Yesavage = depresión).;ENCAPS::Cifras cod::II-7 fuente::2025-1A-Q57
Modelo de atención centrado en la comunidad, continuidad de cuidados y participación protagónica de la comunidad en salud mental:;Modelo <b>comunitario de salud mental</b>. Los CSMC son EESS de categoría I-3 o I-4.;ENCAPS::Cifras cod::II-9 fuente::2026-II-Q36 fuente::compendio-Lopez-SP
Programación del Plan Operativo Institucional (POI): ¿a quién le corresponde?;A la <b>Unidad Ejecutora</b> (no al EESS ni a la zona sanitaria).;ENCAPS::Cifras cod::V-2 critico fuente::2026-II-Q3
POI multianual: vigencia máxima en años.;<b>3 años</b> (instrumento de gestión con metas físicas y costeo de los próximos 3 años). El POI anual = 1 año.;ENCAPS::Cifras cod::V-2 critico fuente::2024-2A-Q27 fuente::2025-1A-Q42
PEI: ¿cuál es el plazo que usó el examen 2025-II en su definición? ¿Y el ciclo CEPLAN?;El enunciado del examen dijo <b>“plazo de tres años”</b> (2025-2 Q52 → PEI). Compendio/CEPLAN: mediano plazo (5 años). Regla: responder lo que dice el enunciado.;ENCAPS::Cifras cod::V-2 critico fuente::2025-2-Q52 fuente::compendio-Lopez-GES
¿En qué documento se cambian las metas físicas y se incorporan o inactivan actividades operativas por cambios del entorno?;<b>POI</b> (no PEI, no ASIS, no PSL).;ENCAPS::Cifras cod::V-2 critico fuente::2026-II-Q94
Definir “condiciones futuras que se esperan lograr, enunciados claros de resultados en salud” es un ejemplo de:;<b>Objetivos estratégicos</b> (PEI).;ENCAPS::Cifras cod::V-2 critico fuente::2026-II-Q28
