accion	origen	destino	razon
ARCHIVE	DATA/_scripts/_encaps_remap_15jun.sql	DATA/_scripts/_ARCHIVO_ANTIGUOS/_encaps_remap_15jun.sql	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/_encaps_remap_16jun.sql	DATA/_scripts/_ARCHIVO_ANTIGUOS/_encaps_remap_16jun.sql	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/_encaps_remap_17jun.sql	DATA/_scripts/_ARCHIVO_ANTIGUOS/_encaps_remap_17jun.sql	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/_encaps_remap_18jun.sql	DATA/_scripts/_ARCHIVO_ANTIGUOS/_encaps_remap_18jun.sql	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/_encaps_remap_19jun.sql	DATA/_scripts/_ARCHIVO_ANTIGUOS/_encaps_remap_19jun.sql	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/_encaps_remap_20jun.sql	DATA/_scripts/_ARCHIVO_ANTIGUOS/_encaps_remap_20jun.sql	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/_encaps_remap_23jun.sql	DATA/_scripts/_ARCHIVO_ANTIGUOS/_encaps_remap_23jun.sql	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/_encaps_remap_24jun.sql	DATA/_scripts/_ARCHIVO_ANTIGUOS/_encaps_remap_24jun.sql	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/gen_encaps_reshift_25jun.js	DATA/_scripts/_ARCHIVO_ANTIGUOS/gen_encaps_reshift_25jun.js	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/gen_encaps_reshift_26jun.js	DATA/_scripts/_ARCHIVO_ANTIGUOS/gen_encaps_reshift_26jun.js	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/gen_encaps_reshift_29jun.js	DATA/_scripts/_ARCHIVO_ANTIGUOS/gen_encaps_reshift_29jun.js	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/gen_encaps_reshift_1jul.js	DATA/_scripts/_ARCHIVO_ANTIGUOS/gen_encaps_reshift_1jul.js	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/gen_encaps_reshift_1jul_exam20.js	DATA/_scripts/_ARCHIVO_ANTIGUOS/gen_encaps_reshift_1jul_exam20.js	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/_encaps_reshift_25jun.sql	DATA/_scripts/_ARCHIVO_ANTIGUOS/_encaps_reshift_25jun.sql	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/_encaps_reshift_26jun.sql	DATA/_scripts/_ARCHIVO_ANTIGUOS/_encaps_reshift_26jun.sql	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/_encaps_reshift_29jun.sql	DATA/_scripts/_ARCHIVO_ANTIGUOS/_encaps_reshift_29jun.sql	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/_encaps_reshift_1jul.sql	DATA/_scripts/_ARCHIVO_ANTIGUOS/_encaps_reshift_1jul.sql	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/_encaps_reshift_1jul_exam20.sql	DATA/_scripts/_ARCHIVO_ANTIGUOS/_encaps_reshift_1jul_exam20.sql	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/gen_encaps_multitema_24jun.sql.js	DATA/_scripts/_ARCHIVO_ANTIGUOS/gen_encaps_multitema_24jun.sql.js	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/_encaps_multitema_24jun.sql	DATA/_scripts/_ARCHIVO_ANTIGUOS/_encaps_multitema_24jun.sql	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/_encaps_reorder_24jun.sql	DATA/_scripts/_ARCHIVO_ANTIGUOS/_encaps_reorder_24jun.sql	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/gen_word_semana1.py	DATA/_scripts/_ARCHIVO_ANTIGUOS/gen_word_semana1.py	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/fix_links_19jun.js	DATA/_scripts/_ARCHIVO_ANTIGUOS/fix_links_19jun.js	one-shot fechado superado (vigente: 2jul)
ARCHIVE	DATA/_scripts/remap_inicio_2jul.js	DATA/_scripts/_ARCHIVO_ANTIGUOS/remap_inicio_2jul.js	reemplazado por remap_inicio.js parametrizado
ARCHIVE-DUP	agente_estudio/ENCAPS/ENCAPS/THEOMED/DIAPOSITIVAS/	agente_estudio/ENCAPS/ENCAPS/_DUPLICADOS/THEOMED_DIAPOSITIVAS_dup_de_QXMEDIC/	15 PDF byte-idénticos a QXMEDIC PPT + zip ya extraído
ARCHIVE-DUP	agente_estudio/ENCAPS/ENCAPS/QXMEDIC PPT SALUD PUBLICA/FT - SALUD PÚBLICA - 01. Métodos y aplicaciones de salud pública - 02. Funciones esenciales de la salud pública (1).pdf	agente_estudio/ENCAPS/ENCAPS/_DUPLICADOS/QXMEDIC/	sufijo (1) idéntico al mismo PDF sin sufijo
ARCHIVE-DUP	agente_estudio/ENCAPS/ENCAPS/THEOMED/MANUAL DE INVESTIGACIÓN (2) (1).pdf	agente_estudio/ENCAPS/ENCAPS/_DUPLICADOS/THEOMED/	descarga (1) idéntica a MANUAL DE INVESTIGACIÓN (2).pdf
ARCHIVE-DUP	agente_estudio/ENCAPS/ENCAPS/THEOMED/MANUAL DE CUIDADO INTEGRAL - MEDICINA - INTEGRAL 2026.docx (1).pdf	agente_estudio/ENCAPS/ENCAPS/_DUPLICADOS/THEOMED/	descarga (1) idéntica a ...docx.pdf
ARCHIVE-DUP	agente_estudio/ENCAPS/ENCAPS/EXAMENES/CLAVE DE RESPUESTA 2024  2A.pdf	agente_estudio/ENCAPS/ENCAPS/_DUPLICADOS/EXAMENES_claves_dup_de_TIOLOPEZ/	clave byte-idéntica a TIO LOPEZ/CLAVE DE RESPUESTA 2024  2A.pdf
ARCHIVE-DUP	agente_estudio/ENCAPS/ENCAPS/EXAMENES/CLAVE DE RESPUESTA 2024 2  B.pdf	agente_estudio/ENCAPS/ENCAPS/_DUPLICADOS/EXAMENES_claves_dup_de_TIOLOPEZ/	clave byte-idéntica a TIO LOPEZ/CLAVE DE RESPUESTA 2024 2  B.pdf
ARCHIVE-DUP	agente_estudio/ENCAPS/ENCAPS/EXAMENES/CLAVE DE RESPUESTA 2025 1 B.pdf	agente_estudio/ENCAPS/ENCAPS/_DUPLICADOS/EXAMENES_claves_dup_de_TIOLOPEZ/	clave byte-idéntica a TIO LOPEZ/CLAVE DE RESPUESTA 2025 1 B.pdf
ARCHIVE-DUP	agente_estudio/ENCAPS/ENCAPS/EXAMENES/CLAVE DE RESPUESTA 2025 1A.pdf	agente_estudio/ENCAPS/ENCAPS/_DUPLICADOS/EXAMENES_claves_dup_de_TIOLOPEZ/	clave byte-idéntica a TIO LOPEZ/CLAVE DE RESPUESTA 2025 1A.pdf
ARCHIVE-DUP	agente_estudio/ENCAPS/ENCAPS/EXAMENES/CLAVE DE RESPUESTA 2025 2.pdf	agente_estudio/ENCAPS/ENCAPS/_DUPLICADOS/EXAMENES_claves_dup_de_TIOLOPEZ/	clave byte-idéntica a TIO LOPEZ/CLAVE DE RESPUESTA 2025 2.pdf
ARCHIVE-DUP	agente_estudio/ENCAPS/ENCAPS/FORMAS DE ESTUDIO/ULTIMO CALENDARIO/	agente_estudio/ENCAPS/ENCAPS/_DUPLICADOS/FORMAS_ULTIMO_CALENDARIO_superado/	HOJA+Horario dup de CALENDARIO; Plan_Maestro_v7 superado por v10 ACTUAL
ARCHIVE-DUP	agente_estudio/ENCAPS/ENCAPS/TIO LOPEZ/SALUD PUBLICA/DIA 5 VIGILANCIA EPIDEMIOLOGICA/CDC VIGILANCIA EN SAUD PUBLICA (1).pdf	agente_estudio/ENCAPS/ENCAPS/_DUPLICADOS/CDC_dups/	copia (1) del CDC (3 copias byte-idénticas)
ARCHIVE-DUP	agente_estudio/ENCAPS/ENCAPS/TIO LOPEZ/2026 2 MATERIALES/CDC VIGILANCIA EN SAUD PUBLICA.pdf	agente_estudio/ENCAPS/ENCAPS/_DUPLICADOS/CDC_dups/	3ra copia del CDC; canónica en DIA 5 VIGILANCIA
ARCHIVE-DUP	agente_estudio/ENCAPS/ENCAPS/TIO LOPEZ/2025 2 PREGUNTAS.pdf	agente_estudio/ENCAPS/ENCAPS/_DUPLICADOS/TIOLOPEZ/	byte-idéntico a EXAMEN 2025 II.pdf (nombre inconsistente)
ARCHIVE-DUP	agente_estudio/ENCAPS/ENCAPS/THEOMED/ETICA e interculturalidad .pdf	agente_estudio/ENCAPS/ENCAPS/_DUPLICADOS/THEOMED_mislabel/	byte-idéntico a 'BLOQUE III Manual 2026 I.pdf'; nombre ambiguo (la Ética real está en ETICA E INTERCULTURALIDAD/S1...). VERIFICAR identidad real.
ARCHIVE-JUNK	agente_estudio/ENCAPS/ENCAPS/TIO LOPEZ/~$2025 1.xlsx	agente_estudio/ENCAPS/ENCAPS/_BASURA/	lock temporal de Excel
ARCHIVE-JUNK	agente_estudio/ENCAPS/ENCAPS/TIO LOPEZ/~$2025 2.xlsx	agente_estudio/ENCAPS/ENCAPS/_BASURA/	lock temporal de Excel
ARCHIVE-JUNK	agente_estudio/ENCAPS/ENCAPS/TIO LOPEZ/Nuevo Documento de Microsoft Word.docx	agente_estudio/ENCAPS/ENCAPS/_BASURA/	docx vacío 0 bytes
ARCHIVE-JUNK	agente_estudio/ENCAPS/ENCAPS/FORMAS DE ESTUDIO/CALENDARIO/PLAN_MAESTRO_ENCAPS_2026.docx - Acceso directo.lnk	agente_estudio/ENCAPS/ENCAPS/_BASURA/	acceso directo roto (destino inexistente)
ARCHIVE-JUNK	agente_estudio/ENCAPS/ENCAPS/FORMAS DE ESTUDIO/CALENDARIO/SEMANA_1_DETALLE_8-14_mayo.docx - Acceso directo.lnk	agente_estudio/ENCAPS/ENCAPS/_BASURA/	acceso directo roto
ARCHIVE-DUP	agente_estudio/ENCAPS/ENCAPS/THEOMED/MANUAL DE GESTIÓN (1) (1).pdf	agente_estudio/ENCAPS/ENCAPS/_DUPLICADOS/THEOMED/	descarga (1) idéntica (md5 d34aec29) a MANUAL DE GESTIÓN (1).pdf
ARCHIVE-DEV	agente_estudio/scripts/test_4_destinos.py	agente_estudio/scripts/_ARCHIVO_DESARROLLO/test_4_destinos.py	andamiaje sin referencias vivas
ARCHIVE-DEV	agente_estudio/scripts/test_capa2_y_reorg.py	agente_estudio/scripts/_ARCHIVO_DESARROLLO/test_capa2_y_reorg.py	andamiaje sin referencias vivas
ARCHIVE-DEV	agente_estudio/scripts/test_clipboard_formats.py	agente_estudio/scripts/_ARCHIVO_DESARROLLO/test_clipboard_formats.py	andamiaje sin referencias vivas
ARCHIVE-DEV	agente_estudio/scripts/test_e2e_6_escenarios_AF.py	agente_estudio/scripts/_ARCHIVO_DESARROLLO/test_e2e_6_escenarios_AF.py	andamiaje sin referencias vivas
ARCHIVE-DEV	agente_estudio/scripts/test_e2e_concepto_madre.py	agente_estudio/scripts/_ARCHIVO_DESARROLLO/test_e2e_concepto_madre.py	andamiaje sin referencias vivas
ARCHIVE-DEV	agente_estudio/scripts/test_e2e_dib_clipboard.py	agente_estudio/scripts/_ARCHIVO_DESARROLLO/test_e2e_dib_clipboard.py	andamiaje sin referencias vivas
ARCHIVE-DEV	agente_estudio/scripts/test_e2e_imagen_clipboard.py	agente_estudio/scripts/_ARCHIVO_DESARROLLO/test_e2e_imagen_clipboard.py	andamiaje sin referencias vivas
ARCHIVE-DEV	agente_estudio/scripts/test_e2e_pending.py	agente_estudio/scripts/_ARCHIVO_DESARROLLO/test_e2e_pending.py	andamiaje sin referencias vivas
ARCHIVE-DEV	agente_estudio/scripts/test_e2e_v2_3.py	agente_estudio/scripts/_ARCHIVO_DESARROLLO/test_e2e_v2_3.py	andamiaje sin referencias vivas
ARCHIVE-DEV	agente_estudio/scripts/test_e2e_v2_4_plus.py	agente_estudio/scripts/_ARCHIVO_DESARROLLO/test_e2e_v2_4_plus.py	andamiaje sin referencias vivas
ARCHIVE-DEV	agente_estudio/scripts/test_imagen_clipboard.py	agente_estudio/scripts/_ARCHIVO_DESARROLLO/test_imagen_clipboard.py	andamiaje sin referencias vivas
ARCHIVE-DEV	agente_estudio/scripts/test_pending_b3_fix.py	agente_estudio/scripts/_ARCHIVO_DESARROLLO/test_pending_b3_fix.py	andamiaje sin referencias vivas
ARCHIVE-DEV	agente_estudio/scripts/test_pending_offline.py	agente_estudio/scripts/_ARCHIVO_DESARROLLO/test_pending_offline.py	andamiaje sin referencias vivas
ARCHIVE-DEV	agente_estudio/scripts/test_telegram_madre.py	agente_estudio/scripts/_ARCHIVO_DESARROLLO/test_telegram_madre.py	andamiaje sin referencias vivas
ARCHIVE-DEV	agente_estudio/scripts/test_obsidian_routing_v2_3.js	agente_estudio/scripts/_ARCHIVO_DESARROLLO/test_obsidian_routing_v2_3.js	andamiaje sin referencias vivas
ARCHIVE-DEV	agente_estudio/scripts/test_parser_concepto_madre.js	agente_estudio/scripts/_ARCHIVO_DESARROLLO/test_parser_concepto_madre.js	andamiaje sin referencias vivas
ARCHIVE-DEV	agente_estudio/scripts/test_parser_v2_3.js	agente_estudio/scripts/_ARCHIVO_DESARROLLO/test_parser_v2_3.js	andamiaje sin referencias vivas
ARCHIVE-DEV	agente_estudio/scripts/test_parser_v2_4_combined.js	agente_estudio/scripts/_ARCHIVO_DESARROLLO/test_parser_v2_4_combined.js	andamiaje sin referencias vivas
ARCHIVE-DEV	agente_estudio/scripts/test_parser_v2_4_multi.js	agente_estudio/scripts/_ARCHIVO_DESARROLLO/test_parser_v2_4_multi.js	andamiaje sin referencias vivas
ARCHIVE-DEV	agente_estudio/scripts/smoke_test_4_escenarios.py	agente_estudio/scripts/_ARCHIVO_DESARROLLO/smoke_test_4_escenarios.py	andamiaje sin referencias vivas
ARCHIVE-DEV	agente_estudio/scripts/smoke_test_v2_4_final.py	agente_estudio/scripts/_ARCHIVO_DESARROLLO/smoke_test_v2_4_final.py	andamiaje sin referencias vivas
ARCHIVE-DEV	agente_estudio/scripts/final_audit_v2_3.py	agente_estudio/scripts/_ARCHIVO_DESARROLLO/final_audit_v2_3.py	andamiaje sin referencias vivas
ARCHIVE-DEV	agente_estudio/scripts/final_audit_v2_4.py	agente_estudio/scripts/_ARCHIVO_DESARROLLO/final_audit_v2_4.py	andamiaje sin referencias vivas
ARCHIVE-DEV	agente_estudio/scripts/cleanup_anki_encaps.py	agente_estudio/scripts/_ARCHIVO_DESARROLLO/cleanup_anki_encaps.py	andamiaje sin referencias vivas
ARCHIVE-DEV	agente_estudio/scripts/cleanup_notion_encaps.py	agente_estudio/scripts/_ARCHIVO_DESARROLLO/cleanup_notion_encaps.py	andamiaje sin referencias vivas
ARCHIVE-DEV	agente_estudio/scripts/cleanup_obsidian_encaps.py	agente_estudio/scripts/_ARCHIVO_DESARROLLO/cleanup_obsidian_encaps.py	andamiaje sin referencias vivas
ARCHIVE-DEV	agente_estudio/scripts/auditoria_post_cleanup.py	agente_estudio/scripts/_ARCHIVO_DESARROLLO/auditoria_post_cleanup.py	andamiaje sin referencias vivas
ARCHIVE-DEV	agente_estudio/scripts/update_n8n_workflow_v2_3.py	agente_estudio/scripts/_ARCHIVO_DESARROLLO/update_n8n_workflow_v2_3.py	andamiaje sin referencias vivas
ARCHIVE-DEV	agente_estudio/scripts/n8n_backup_antes_4destinos.json	agente_estudio/scripts/_ARCHIVO_DESARROLLO/n8n_backup_antes_4destinos.json	andamiaje sin referencias vivas
ARCHIVE-DEV	agente_estudio/scripts/restart_result.txt	agente_estudio/scripts/_ARCHIVO_DESARROLLO/restart_result.txt	andamiaje sin referencias vivas
ARCHIVE-DEV	agente_estudio/scripts/restart_test_dryrun.txt	agente_estudio/scripts/_ARCHIVO_DESARROLLO/restart_test_dryrun.txt	andamiaje sin referencias vivas
ARCHIVE-SCHEMA	agente_estudio/config/supabase_schema_v1_concepto_madre.sql	agente_estudio/config/_ARCHIVO_SCHEMAS/supabase_schema_v1_concepto_madre.sql	schema superado por v2_5_pending
ARCHIVE-SCHEMA	agente_estudio/config/supabase_schema_v2_3.sql	agente_estudio/config/_ARCHIVO_SCHEMAS/supabase_schema_v2_3.sql	schema superado por v2_5_pending
ARCHIVE-SCHEMA	agente_estudio/config/supabase_schema_v2_4.sql	agente_estudio/config/_ARCHIVO_SCHEMAS/supabase_schema_v2_4.sql	schema superado por v2_5_pending
ARCHIVE-SCHEMA	agente_estudio/config/supabase_tables.sql	agente_estudio/config/_ARCHIVO_SCHEMAS/supabase_tables.sql	schema superado por v2_5_pending
ARCHIVE-SCHEMA	agente_estudio/config/cleanup_supabase_v2_5_tests.sql	agente_estudio/config/_ARCHIVO_SCHEMAS/cleanup_supabase_v2_5_tests.sql	schema superado por v2_5_pending
ARCHIVE-PROMPT	agente_estudio/prompts/TUTOR_ENCAPS_v2_3_2.md	agente_estudio/prompts/_ARCHIVO/TUTOR_ENCAPS_v2_3_2.md	iteración previa, vigente=v2_4_1
ARCHIVE-PROMPT	agente_estudio/prompts/TUTOR_ENCAPS_v2_3_3.md	agente_estudio/prompts/_ARCHIVO/TUTOR_ENCAPS_v2_3_3.md	iteración previa, vigente=v2_4_1
ARCHIVE-PROMPT	agente_estudio/prompts/TUTOR_ENCAPS_v2_3_4.md	agente_estudio/prompts/_ARCHIVO/TUTOR_ENCAPS_v2_3_4.md	iteración previa, vigente=v2_4_1
ARCHIVE-QA	agente_estudio/reports/extension_v2_3_2026-05-06.md	agente_estudio/_ARCHIVO_QA/extension_v2_3_2026-05-06.md	QA congelado extensión v2_3/v2_4 (may)
ARCHIVE-QA	agente_estudio/reports/extension_v2_3_completed.md	agente_estudio/_ARCHIVO_QA/extension_v2_3_completed.md	QA congelado extensión v2_3/v2_4 (may)
ARCHIVE-QA	agente_estudio/reports/extension_v2_3_e2e_results.json	agente_estudio/_ARCHIVO_QA/extension_v2_3_e2e_results.json	QA congelado extensión v2_3/v2_4 (may)
ARCHIVE-QA	agente_estudio/reports/extension_v2_4_plus_completed.md	agente_estudio/_ARCHIVO_QA/extension_v2_4_plus_completed.md	QA congelado extensión v2_3/v2_4 (may)
ARCHIVE-QA	agente_estudio/reports/extension_v2_4_plus_e2e.json	agente_estudio/_ARCHIVO_QA/extension_v2_4_plus_e2e.json	QA congelado extensión v2_3/v2_4 (may)
ARCHIVE-QA	agente_estudio/reports/smoke_test_4_escenarios_morning.json	agente_estudio/_ARCHIVO_QA/smoke_test_4_escenarios_morning.json	QA congelado extensión v2_3/v2_4 (may)
ARCHIVE-QA	agente_estudio/reports/test_6_escenarios_AF.json	agente_estudio/_ARCHIVO_QA/test_6_escenarios_AF.json	QA congelado extensión v2_3/v2_4 (may)
